"","totals.Rk","totals.Player","totals.Age","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.eFG.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS"
"1","1","Carmelo Anthony","31","72","72","2530","567","1307",".434","105","310",".339","462","997",".463",".474","334","403",".829","98","458","556","299","62","38","176","180","1573"
"2","2","Arron Afflalo","30","71","57","2371","354","799",".443","91","238",".382","263","561",".469",".500","110","131",".840","23","243","266","144","25","10","82","142","909"
"3","3","Robin Lopez","27","82","82","2219","357","662",".539","0","1",".000","357","661",".540",".539","128","161",".795","268","334","602","114","16","129","133","182","842"
"4","4","Kristaps Porzingis","20","72","72","2047","373","886",".421","81","243",".333","292","643",".454",".467","201","240",".838","132","394","526","93","53","134","121","205","1028"
"5","5","Langston Galloway","24","82","7","2033","231","588",".393","77","224",".344","154","364",".423",".458","86","114",".754","43","245","288","207","77","22","61","177","625"
"6","6","Jose Calderon","34","72","72","2024","209","455",".459","84","203",".414","125","252",".496",".552","42","48",".875","22","207","229","299","63","7","87","135","544"
"7","7","Derrick Williams","24","80","9","1435","254","565",".450","44","150",".293","210","415",".506",".488","194","256",".758","47","249","296","75","29","9","61","69","746"
"8","8","Lance Thomas","27","59","5","1313","169","382",".442","44","109",".404","125","273",".458",".500","102","119",".857","34","97","131","53","22","7","57","109","484"
"9","9","Jerian Grant","23","76","6","1265","154","391",".394","22","100",".220","132","291",".454",".422","96","123",".780","23","120","143","177","50","10","87","97","426"
"10","10","Sasha Vujacic","31","61","25","908","106","277",".383","52","143",".364","54","134",".403",".477","32","39",".821","26","123","149","84","34","5","44","83","296"
"11","11","Kyle O'Quinn","25","65","1","764","129","271",".476","5","22",".227","124","249",".498",".485","46","60",".767","76","174","250","72","20","49","61","107","309"
"12","12","Kevin Seraphin","26","48","0","526","84","205",".410","0","2",".000","84","203",".414",".410","19","23",".826","31","95","126","47","8","36","43","67","187"
"13","13","Lou Amundson","33","29","0","204","19","53",".358","0","0","","19","53",".358",".358","14","27",".519","23","26","49","12","6","7","15","44","52"
"14","14","Cleanthony Early","24","17","2","154","12","40",".300","4","15",".267","8","25",".320",".350","3","4",".750","4","22","26","6","2","3","9","16","31"
"15","15","Thanasis Antetokounmpo","23","2","0","6","3","4",".750","0","1",".000","3","3","1.000",".750","0","0","","0","1","1","0","0","0","0","2","6"
"16","16","Jimmer Fredette","26","2","0","5","1","1","1.000","1","1","1.000","0","0","","1.500","4","5",".800","0","0","0","0","0","0","1","1","7"
